chinese,english
卻說孫堅被劉表圍住，虧得程普，黃蓋，韓當，三將死救得脫，折兵大半，奪路引兵回江東。自此孫堅與劉表結怨。,"At the close of the last chapter Sun Jian was surrounded. However, aided by Cheng Pu, Huang Gai, and Han Dang, he eventually fought his way through, though with the loss of more than half his troops. Sun Jian returned to the South Land, the territories southeast of the Great River. Henceforward Sun Jian and Liu Biao were open enemies."
且說袁紹屯兵河內，缺少糧草。冀州牧韓馥，遣人送糧以資軍用。謀士逢紀說紹曰：「大丈夫縱橫天下，何待人送糧為食？冀州乃錢糧廣盛之地，將軍何不取之？」紹曰：「未有良策。」紀曰：「可暗使人馳書與公孫瓚，令進兵取冀州，約以夾攻，瓚必興兵。韓馥無謀之輩，必請將軍領州事；就中取事，唾手可得。」,"Yuan Shao was in Henei. Being short of supplies, he sent to borrow from the Imperial Protector of Jizhou, Han Fu, whence he obtained the wherewithal to support his army.Then one of Yuan Shao's advisers, Peng Ji, said to him, ""You are really the strongest power here about. Why then depend upon another for food? Jizhou Region is rich and wide. Why not seize it?""""I have no good plan,"" replied Yuan Shao.""You could secretly send a letter to Gongsun Zan, asking him to attack, promising him your support. Imperial Protector Han Fu of Jizhou, being incapable, must ask you to take over his region, and you will get it without lifting a finger."""
紹大喜，即發書到瓚處。瓚得書，見說共攻冀州，平分其地，大喜，即日興兵。紹卻使人密報韓馥。馥慌聚荀諶，辛評，二謀士商議。諶曰：「公孫瓚將燕、代之眾，長驅而來，其鋒不可當。兼有劉備、關、張助之，難以抵敵。今袁本初智勇過人，手下名將極廣，將軍可請彼同治州事，彼必厚待將軍，無患公孫瓚矣。」,"So the letter was sent. When Gongsun Zan saw therein the proposal to make a joint attack and divide the territory, he agreed to give his help. In the meantime Yuan Shao had sent to warn Han Fu of Gongsun Zan's threat. Han Fu sought advice from Counselors Xun Chang and Xin Ping.Xun Chang said, ""Governor Gongsun Zan of Beiping is commanding a huge and strong army. If he came to attack us, we could not stand against him, especially if he had the help of Liu Bei and his brothers. At present, Yuan Shao is bolder than most, and he has many able and famous leaders under him. You cannot do better than ask him to assist in administering this region. Yuan Shao will certainly treat you with generosity, and you need have no fear from Gongsun Zan."""
韓馥即差別駕關純去請袁紹。長史耿武諫曰：「袁紹孤客窮軍，仰我鼻息，譬如嬰兒在股掌之上，絕其乳哺，立可餓死。奈何欲以州事委之？此引虎入羊群也。」馥曰：「吾乃袁氏之故吏，才能又不如本初。古者擇賢者而讓之，諸君何嫉妒耶？」耿武歎曰：「冀州休矣！」於是棄職而去者三十餘人。獨耿武與關純伏於城外，以待袁紹。,"Han Fu agreed and sent a message to Yuan Shao by the hand of Guan Chun.But Commander Geng Wu remonstrated with his master, saying, ""Yuan Shao is a needy man with a hungry army and as dependent on us for existence as an infant in the arms of its mother. Stop the flow of milk and the infant dies. Why should you hand the region over to him? It is nothing less than letting a tiger into the sheepfold!""Han Fu replied, ""I am one of the clients of the Yuan family, and I know the abilities of Yuan Shao, which is far better than mine! Why are you all so jealous? The ancients counseled yielding to the sage.""Geng Wu sighed, ""Jizhou is lost!""When the news got abroad, more than thirty officers of Jizhou left their employment and the city. However, Geng Wu and Guan Chun hid in the suburbs to await the arrival of Yuan Shao."
數日後，紹引兵至。耿武、關純拔刀而出，欲刺殺紹。紹將顏良立斬耿武，文醜砍死關純。紹入冀州，以馥為奮威將軍，以田豐，沮授，許攸，逢紀分掌州事，盡奪韓馥之權。馥懊悔無及，遂棄下家小，匹馬往投陳留太守張邈去了。,"They had not long to wait. Some days later, Yuan Shao with his soldiers came, and Geng Wu and Guan Chun tried to assassinate him with knives. This attempt failed. Yuan Shao's generals, Yan Liang and Wen Chou, beheaded Geng Wu and Guan Chun instantly. Thus both of them died, and the object of their hatred entered Jizhou City.Yuan Shao's first act was to confer on Han Fu a high sounding title —-General Who Demonstrates Grand and Vigor Courage in Arms —-, but the administration was entrusted to four of Yuan Shao's confidants —-Tian Feng, Ju Shou, Xu You, and Peng Ji —-who speedily deprived the Imperial Protector of all power. Full of chagrin, Han Fu soon abandoned all, even his family, and rode alone to take refuge with the Governor of Chenliu, Zhang Miao."
卻說公孫瓚知袁紹己據冀州，遣弟公孫越來見紹，欲分其地。紹曰：「可請汝兄自來，吾有商議。」越辭歸。行不到五十里，道旁閃出一彪軍馬，口稱：「我乃董丞相家將也！」亂箭射死公孫越。從人逃回見公孫瓚，報越已死。瓚大怒曰：「袁紹誘我起兵攻韓馥，他卻就裏取事；今又詐董卓兵射死吾弟，此冤如何不報！」盡起本部兵，殺奔冀州來。,"Hearing of Yuan Shao's invasion, Gongsun Zan sent his brother, Gongsun Yue, to see the usurper and demand his share of the region.""I want to see your elder brother himself. He and I have things to discuss,"" said Yuan Shao.Thus Gongsun Yue was sent back. But after traveling some fifteen miles on the homeward road, Gongsun Yue saw a group of soldiers appear.""We are guards of Prime Minister Dong Zhuo!"" cried the soldiers.Instantly, Gongsun Yue was killed by a flight of arrows. Those of Gongsun Yue's followers who escaped carried the news to their late master's brother.Gongsun Zan was very angry and said, ""Yuan Shao prevailed on me to attack, and now he has taken possession! Also he pretends the murderers of my brother were not his people! Shall I not avenge my brother's injury?"" Gongsun Zan brought up all his force to the attack."
紹知瓚兵至，亦領軍出。二軍會於磐河之上：紹軍於磐河橋東，瓚軍於橋西。瓚立馬橋上，大呼曰：「背義之徒，何敢賣我！」紹亦策馬至橋邊，指瓚曰：「韓馥無才，願讓冀州於吾，與爾何干？」瓚曰：「昔日以汝為忠義，推為盟主；今之所為，真狼心狗行之徒，有何面目立於世間！」袁紹大怒曰：「誰可擒之？」,"Learning the movement, Yuan Shao sent out his army, and they met at River Pan. They halted on opposite sides of the river, over which was a bridge.Gongsun Zan took his station on the bridge and cried to his enemy, ""Renegade, how dared you mislead me?""Yuan Shao rode to the other end of the bridge and, pointing at Gongsun Zan, replied, ""Han Fu yielded place to me because he was unequal to the rule! What concern is it of yours?""Gongsun Zan replied, ""Formerly you were regarded as loyal and public spirited, and we chose you chief of the confederacy. Now your deeds prove you cruel and base and wolf-hearted in behavior! How can you look the world in the face?""""Who will capture him?"" cried Yuan Shao in a rage."
言未畢，文醜策馬挺鎗，直殺上橋。公孫瓚就橋邊與文醜交鋒。戰不到十餘合，瓚抵擋不住，敗陣而走。文醜乘勢追趕。瓚走入陣中，文醜飛馬逕入中軍，往來衝突。瓚手下健將四員，一齊迎戰；被文醜一鎗，刺一將下馬，三將俱走。文醜直趕公孫瓚出陣後，瓚望山谷而逃。文醜驟馬厲聲大叫：「快下馬受降！」瓚弓箭盡落，頭盔墮地；披髮縱馬，奔轉山坡；其馬前失，瓚翻身落於坡下。文醜急捻鎗來刺。忽見草坡左側轉出一個少年將軍，飛馬挺鎗，直取文醜。,"At once Wen Chou rode out with his spear set. Gongsun Zan rode down the bridge to the enemy's side, where the two engaged. Ten bouts showed Gongsun Zan the terrible power of Wen Chou, and so he drew off. The enemy came on. Gongsun Zan took refuge within his formation, but Wen Chou cut his way in and rode this way and that, slaying right and left. The four best of Gongsun Zan's generals offered joint battle, but one fell under the first stroke of the doughty warrior, and the other three fled. Wen Chou followed, clearing through to the rear of the army. Gongsun Zan made for the mountains.Wen Chou forced his horse to its utmost pace, crying hoarsely, ""Down! Dismount and surrender!""Gongsun Zan fled for life. His bow and quiver dropped from his shoulders, his helmet fell off, and his hair streamed straight behind him as he rode in and out between the sloping hills. Then his steed stumbled and he was thrown, rolling over and over to the foot of the slope.Wen Chou was now very near and poising his spear for the thrust. Then suddenly came out from the shelter of a grassy mound on the left a general of youthful mien, but sitting his steed bravely and holding a sturdy spear. He rode directly at Wen Chou."
公孫瓚爬上坡去，看那少年：生得身長八尺，濃眉大眼，闊面重頤，威風凜凜，與文醜大戰五六十合，勝負未分。瓚部下救軍到，文醜撥馬回去了。那少年也不追趕。瓚忙下土坡，問那少年姓名。那少年欠身答曰：「某乃常山真定人也：姓趙，名雲，字子龍；本袁紹轄下之人。因見紹無忠君救民之心，故特棄彼而投麾下不期於此處相見。」瓚大喜，遂同歸寨，整頓甲兵。,"Gongsun Zan crawled up the slope to look on. The new warrior was of middle height with bushy eyebrows and large eyes, a broad face and a heavy jowl, a youth of commanding presence. The two exchanged some fifty bouts and yet neither had the advantage. Then Gongsun Zan's rescue force came along, and Wen Chou turned and rode away. The warrior did not pursue.Gongsun Zan hurried down the hill and asked the young fellow who he was.He bowed low and replied, ""My name is Zhao Zilong from Changshan. I first served Yuan Shao; but when I saw that he was disloyal to his prince and careless of the welfare of the people, I left him and I was on my way to offer service to you. This meeting in this place is most unexpected.""Gongsun Zan was very pleased, and the two went together to the camp, where they at once busied themselves with preparations for a new battle."
次日，瓚將軍馬分作左右兩隊，勢如羽翼。馬五千餘匹，大半皆是白馬。因公孫瓚曾與羌人戰，盡選白馬為先鋒，號為「白馬將軍」；羌人但見白馬便走，因此白馬極多。袁紹令顏良、文醜為先鋒，各引弓弩手一千，亦分作左右兩隊；令在左者射公孫瓚右軍，在右者射公孫瓚左軍。再令麴義引八百弓手，步兵一萬五千，列於陣中。袁紹自引馬步軍數萬，於後接應。,"Next day Gongsun Zan prepared for fight by dividing his army into two wings. He had five thousand cavalry in the center, all mounted on white horses. Gongsun Zan had formerly seen service against the northern frontier tribes, the Qiang Peoples, where he always placed his white horses in the van of his army, and thus he had won the sobriquet of General Who Commands White Horses. The tribes held him so much in fear that they always fled as soon as the white horses, their sacred creatures, appeared.On Yuan Shao's side Yan Liang and Wen Chou were Leaders of the Van. Each had one thousand of archers and crossbowmen. They were set out half on either side, those on the left to shoot at Gongsun Zan's right and those on the right to shoot at his left. In the center was Qu Yi with eight hundred bowmen and ten thousand of foot and horse. Yuan Shao took command of the reserve force in the rear."
