chinese,english
且說曹操當日對何進曰：「宦官之禍，古今皆有；但世主不當假之權寵，使至於此。若欲治罪，當除元惡，但付一獄吏足矣，何必紛紛召外兵乎？欲盡誅之，事必宣露。吾料其必敗也。」何進怒曰：「孟德亦懷私意耶？」操退曰：「亂天下者，必進也。」進乃暗差使命齎密詔，星夜往各鎮去。,"What Cao Cao said was this: ""The eunuch evil is of very old standing, but the real cause of the present trouble is in the improper influence allowed them by the emperors and the misplaced favoritism they have enjoyed. But a gaoler would be ample force to employ against this kind of evil, and getting rid of the main culprits is quite enough. Why increase confusion by summoning troops from the regions? Any desire to slay all of them will speedily become known, and the plan will fail.""""Then, Cao Cao, you have some scheme of your own to further,"" said He Jin with a sneer.Cao Cao left the meeting, proclaiming, ""The one who throws the world into chaos is He Jin!""Then He Jin sent swift, secret letters far and wide to several bases."
卻說前將軍鰲鄉侯西涼刺史董卓，先為破黃巾無功，朝廷將治其罪，因賄賂十常侍幸免；後又結託朝貴，遂任顯官，統西州大軍二十萬，常有不臣之心。是時得詔大喜，點起軍馬，陸續便行；使其婿中郎將牛輔，守住陝西，自己卻帶李傕、郭汜、張濟、樊稠等提兵望洛陽進發。卓婿謀士李儒曰：「今雖奉詔，中間多有暗昧。何不差人上表，名正言順，大事可圖。」卓大喜，遂上表。其略曰：竊聞天下所以亂逆不止者，皆由黃門常侍張讓等侮慢天常之故。臣聞揚湯止沸，不如去薪；潰癰雖痛，勝於養毒。臣敢鳴鐘鼓入洛陽，請除讓等。社稷幸甚！天下幸甚！,"It must be recalled that Dong Zhuo had failed in his attempt to destroy the Yellow Scarves rebellion. He would have been punished if he had not bribed the Ten Eunuchs heavily for their protection. Later, through connections in the capital, he obtained rapid promotions from General to General of the Front Army, to Lord of Aoxiang, to Imperial Protector in the western region of Xizhou and Commander of an army of two hundred thousand troops. But Dong Zhuo was treacherous and disloyal at heart. So when he received the summons to the capital, he rejoiced greatly and lost no time in obeying it. He left a son-in-law, Imperial Commander Niu Fu, to look after the affairs of Xizhou and set out for Luoyang. Dong Zhuo took with him a huge army and four generals —-Li Jue, Guo Si, Zhang Ji, and Fan Chou.Dong Zhuo's adviser and son-in-law, Li Ru, said, ""Though a formal summons has come, there are many obscurities in it. It would be well to send up a memorial stating plainly our aims and intentions. Then we can proceed.""So Dong Zhuo composed something like this: ""Thy servant knows that the continual rebellions owe their origin to Zhang Rang and the Regular Attendants of the Inner Bureau, who act counter to all recognized precepts. Now to stop the ebullition of a pot the best way is to withdraw the fire; to cut out an abscess, though painful, is better than to nourish the evil. I have dared undertake a military advance on the capital, with thy permission, and now pray that Zhang Rang and the other eunuchs be removed for the happiness of the dynasty and of the empire."""
何進得表，出示大臣。侍御史鄭泰諫曰：「董卓乃豺狼也，引入京城，必食人矣。」進曰：「汝多疑，不足謀大事。」盧植亦諫曰：「植素知董卓為人，面善心狠；一入禁庭，必生禍患。不如止之勿來，免致生亂。」,"He Jin read this memorial and showed it to his partisans.Then said Minister Zheng Tai, ""A fierce wild beast: If he comes, his prey will be humans!""He Jin replied, ""You are too timorous: You are unequal to great schemes.""But Lu Zhi also said, ""Long have I known this man. In appearance innocent, he is a very wolf at heart. Let him in, and calamity enters with him. Stop him, do not let him come, and thus will you avoid upheaval."""
進不聽，鄭泰、盧植皆棄官而去。朝廷大臣，去者大半。進使人迎董卓於澠池，卓按兵不動。張讓等知外兵到，共議曰：「此何進之謀也；我等不先下手，皆滅族矣。」乃先伏刀斧手五十人於長樂宮嘉德門內，入告何太后曰：「今大將軍矯詔召外兵至京師，欲滅臣等，望娘娘垂憐賜救。」太后曰：「汝等可詣大將軍府謝罪。」讓曰：「若到相府，骨肉虀粉矣。望娘娘宣大將軍入宮諭止之。如其不從，臣等只就娘娘前請死。」,"He Jin was obstinate, and both Zheng Tai and Lu Zhi gave up their posts and retired, as did more than half the ministers of state, while He Jin sent a warm welcome to Dong Zhuo, who soon camped at Shengchi Lake and stationed there without further action. Zhang Rang and the eunuchs knew this move was directed against them and said, ""This is He Jin's plot. If we do not strike first, our whole clans shall be exterminated."" So they hid a band of fifty armed ruffians at the Gate of Grand Virtue in the Palace of Happiness, where the Empress lived, then they went in to see her.They said, ""The General, feigning to act under command, has called up armies to the capital to destroy us. We pray you, Your Majesty, pity and save us!""""Go to the General and confess your faults,"" said the Empress.""If we did, then should we be cut to mincemeat! Rather summon the General into your presence and command him to cease. If he will not, then we pray but die in your presence."""
太后乃降詔宣進。進得詔便行。主簿陳琳諫曰：「太后此詔，必是十常侍之謀，切不可去。去必有禍。」進曰：「太后詔我，有何禍事？」袁紹曰：「今謀已泄，事已露，將軍尚欲入宮耶？」曹操曰：「先召十常侍出，然後可入。」進笑曰：「此小兒之見也。吾掌天下之權，十常侍敢待如何？」紹曰：「公必欲去，我等引甲士護從，以防不測。」,"Empress He issued the requisite command. He Jin was just going to her when Secretary Chen Lin advised him not to enter, saying, ""The eunuchs are certainly behind the order and mean your harm.""But He Jin could only see the command of the Empress and was oblivious to all else. Said he, ""Clearly, this is an edict from the Empress. What harm?""""Our plot is no longer a secret,"" said Yuan Shao. ""Still you may go if you are ready to fight your way in.""""Get the eunuchs out first!"" said Cao Cao.""Silly children!"" said He Jin. ""What can they do against the man who holds the forces of the empire in his palm?""Yuan Shao said, ""If you will go, then we will come as a guard, just as a precaution."""
於是袁紹、曹操各選精兵五百，命袁紹之弟袁術領之。袁術全身披掛，引兵布列青瑣門外。紹與操帶劍護送何進至長樂宮前。黃門傳懿旨云：「太后特宣大將軍，餘人不許輒入。」將袁紹、曹操等都阻住宮門外。何進昂然直入。至嘉德殿門，張讓、段珪迎出，左右圍住，進大驚。讓厲聲責進曰：「董后何罪，妄以酖死？國母喪葬，託疾不出！汝本屠沽小輩，我等薦之天子，以致榮貴：不思報效，欲相謀害！汝言我等甚濁，其清者是誰？」進慌急，欲尋出路，宮門盡閉，伏甲齊出，將何進砍為兩段。後人有詩歎之曰：漢室傾危天數終，無謀何進作三公。幾番不聽忠臣諫，難免宮中受劍鋒。,"Whereupon both Yuan Shao and Cao Cao chose five hundred best men under their command, at whose head they placed Yuan Shu, a brother of Yuan Shao. Yuan Shu, clad in mail, drew up his troops outside the Forbidden City's entrance, while Yuan Shao and Cao Cao, holding swords, went as escort.When He Jin neared the Palace of Happiness, the officers from the Inner Bureau said, ""The orders are to admit the Regent Marshal and none other.""So the escort was detained outside. He Jin went in proudly. At the Gate of Grand Virtue, he was met by Zhang Rang and Duan Gui, and their followers quickly closed in around him. He Jin began to feel alarmed.Then Zhang Rang in a harsh voice began to revile him: ""What crime had Empress Dong committed that she should have been put to death? And when the Mother of the Country was buried, who feigned sickness and did not attend? We raised you and your paltry, huckstering family to all the dignity and wealth you have, and this is your gratitude! You would slay us. You call us sordid and dirty: Who is the cleaner?""He Jin was panic stricken and looked about for a way to escape, but all gates had been shut. The eunuchs closed him in, and then the assassins appeared and cut He Jin into halves.Closing the days of the Hans, and the years of their rule were near spent,Stupid and tactless was He Jin, yet stood he highest in office,Many were they who advised him, but he was deaf as he heard not,Wherefore fell he a victim under the swords of the eunuchs."
讓等既殺何進，袁紹久不見進出，乃於宮門外大叫曰：「請將軍上車！」讓等將何進首級從牆上擲出，宣諭曰：「何進謀反，已伏誅矣。其餘脅從，盡皆赦宥。」袁紹厲聲大叫：「閹官謀殺大臣！誅惡黨者前來助戰！」何進部將吳匡，便於青瑣門外放起火來。袁術引兵突入宮庭，但見閹官，不諭大小，盡皆殺之。袁紹、曹操斬關入內。趙忠，程曠，夏惲，郭勝四個被趕至翠花樓前，剁為肉泥。宮中火燄沖天。張讓，段珪，曹節，侯覽將太后及太子并陳留王劫去內省，從後道走北宮。,"So He Jin died. Yuan Shao and Cao Cao waited long. By and by, impatient at the delay, they called through the gate, ""Thy carriage awaits, O General!""For reply the head of He Jin was flung over the wall. A decree was proclaimed:""He Jin has contemplated treachery and therefore has been slain! It pardons his adherents.""Yuan Shao shouted, ""The eunuchs have slain the High Minister. Let those who will slay this wicked party come and help me!""Then one of He Jin's generals, Wu Kuang, set fire to the gate. Yuan Shu at the head of his guards burst in and fell to slaying the eunuchs without regard to age or rank. Yuan Shao and Cao Cao broke into the inner part of the Palace. Four of the eunuchs —-Zhao Zhong, Cheng Kuang, Xia Yun, and Guo Sheng —-fled to the Blue Flower Lodge where they were hacked to pieces. Fire raged, destroying the buildings. Four of the Ten Regular Attendants —-Zhang Rang, Duan Gui, Cao Jie, and Hou Lan —-led by Zhang Rang carried off the Empress, Emperor Bian, and Prince Xian of Chenliu toward the North Palace."
時盧植棄官未去，見宮中事變，擐甲持戈，立於閣下。遙見段珪擁逼何后過來，植大呼曰：「段珪逆賊，安敢劫太后！」段珪回身便走。太后從窗中跳出，植急救得免。吳匡殺入內庭，見何苗亦提劍出。匡大呼曰：「何苗同謀害兄，當共殺之！」眾人俱曰：「願斬謀兄之賊！」苗欲走，四面圍定，砍為虀粉。紹復令軍士分頭來殺十常侍家屬，不分大小，盡皆誅絕，多有無鬚者誤被殺死。曹操一面救滅宮中之火，請何太后權攝大事，遣兵追襲張讓等，尋覓少帝。,"Lu Zhi, since he had resigned office, was at home, but hearing of the revolution in the Palace he donned his armor, took his spear, and prepared to fight. He saw Eunuch Duan Gui hurrying the Empress along and called out, ""You rebel, how dare you abduct the Empress?""The eunuch fled. The Empress leaped out of a window and was taken to a place of safety. General Wu Kuang burst into one of the inner halls where he found He Miao, sword in hand. ""You also were in the plot to slay your own brother,"" cried Wu Kuang. ""You shall die with the others!""""Let us kill the plotter against his elder brother!"" cried many.He Miao looked around: His enemies hemmed him in on every side. He was hacked to pieces. Yuan Shu bade his soldiers scatter and seek out all the families of the eunuchs, sparing none. In that slaughter many beardless men were killed in error. Cao Cao set himself to extinguish the fires. He then begged Empress He to undertake the direction of affairs, and soldiers were sent to pursue Zhang Rang and rescue the young Emperor and the young Prince of Chenliu."
且說張讓，段珪，劫擁少帝及陳留王，冒煙突火，連夜奔走至北邙山。約三更時分，後面喊聲大舉，人馬趕至；當前何南中部掾吏閔貢，大呼：「逆賊休走！」張讓見事急，遂投河而死。帝與陳留王未知虛實，不敢高聲，伏於河邊亂草之內。軍馬四散去趕，不知帝之所在。,"Meanwhile, Zhang Rang and Duan Gui had hustled away the Emperor and the Prince. They burst through the smoke and fire and traveled without stopping till they reached the Beimang Hills. It was then the third watch. They heard a great shouting behind them and saw soldiers in pursuit. Their leader, Min Gong, a commander in Henan, was shouting, ""Traitors, stop, stop!""Zhang Rang, seeing that he was lost, jumped into the river, where he was drowned.The two boys ignorant of the meaning of all this confusion and terrified out of their senses, dared not utter a cry. They crept in among the rank grass on the river bank and hid. The soldiers scattered in all directions but failed to find them."
帝與王伏至四更，露水又下，腹中飢餒，相抱而哭；又怕人知覺，吞聲草莽之中。陳留王曰：「此間不可久戀，須別尋活路。」於是二人以衣相結，爬上岸邊。滿地荊棘，黑暗之中，不見行路。正無奈何，忽有流螢千百成群，光芒照耀，只在帝前飛轉。陳留王曰：「此天助我兄弟也！」遂隨螢火而行，漸漸見路。行至五更，足痛不能行。山岡邊見一草堆，帝與王臥於草堆之畔。草堆前面是一所莊院。莊主是夜夢兩紅日墜於莊後，驚覺，披衣出戶，四下觀望。見莊後草堆上紅光沖天，慌忙往視，卻是二人臥於草畔。,"So they remained till the fourth watch, shivering with cold from the drenching dew and very hungry. They lay down in the thick grass and wept in each other's arms, silently, lest anyone should discover them. ""This is no a place to stay in,"" said Prince Xian. ""We must find some way out."" So the two children knotted their clothes together and managed to crawl up the bank. They were in a thicket of thorn bushes, and it was quite dark. They could not see any path. They were in despair when, all at once, millions of fireflies sprang up all about them and circled in the air in front of the Emperor.""God is helping us,"" said Prince Xian. They followed whither the fireflies led and gradually got into a road. They walked till their feet were too sore to go further, when, seeing a heap of straw near the road, they crept to it and lay down. This heap of straw was close to a farm house. In the night, as the farmer was sleeping, he saw in a vision two bright red suns drop behind his dwelling. Alarmed by the portent, he hastily dressed and went forth to look about him. Then he saw a bright light shooting up from a heap of straw. He hastened thither and then saw two youths lying behind it."
