chinese,english
卻說那撞倒董卓的人，正是李儒。當下李儒扶起董卓，至書院中坐定。卓曰：「汝為何來此？」儒曰：「儒適至府門，知太師怒入後園，尋問呂布。因急走來，正遇呂布奔出云：『太師殺我！』儒慌趕入園中勸解，不意誤撞恩相。死罪！死罪！」卓曰：「叵耐逆賊！戲吾愛姬，誓必殺之！」儒曰：「恩相差矣：昔楚莊王『絕纓』之會，不究戲愛姬之蔣雄，後為秦兵所困，得其死力相救。今貂蟬不過一女子，而呂布乃太師心腹猛將也。太師若就此機會，以蟬賜布，布感大恩，必以死報太師。太師請自三思。」卓沈吟良久曰：「汝言亦是，我當思之。」,"The person who collided with the irate Dong Zhuo was his most trusty adviser Li Ru. Li Ru had not fallen in spite of the shock and at once scrambled to help Dong Zhuo to regain his feet and led him inside to the library, where they sat down.""What were you coming about?"" said Dong Zhuo.""Happening to be passing your gates, I heard that you had gone into your private garden to look for your adopted son. Then came Lu Bu running and crying out that you wanted to kill him, and I was coming in as fast as I could to intercede for him when I accidentally collided with you. I am very sorry! I deserve death.""""The wretch! How could I bear to see him toying with my fair one? I will be the death of his yet!""""Your Graciousness is making a mistake. It is the 'plucked tassel' story over again. But if you remember the banquet of old time where all guests were to tear the tassels of their hats. In that banquet, King Zhuang of Chu made no fuss about the liberties taken with his queen, although the hat-tassel in her hand betrayed the culprit Jiang Xiong. His restraint stood him good stead, for the same Jiang Xiong saved his life when he was hemmed in by the soldiers of Qin. After all Diao Chan is only a handmaid, but Lu Bu is your trustiest friend and most dreaded commander. If you took this chance of making the girl over to him, your kindness would win his undying gratitude. I beg you, Sir, to think over it well.""Dong Zhuo hesitated a long time. He sat murmuring to himself. Presently he said, ""What you say is right. I must think over it."""
儒謝而出。卓入後堂，喚貂蟬問曰：「汝何與呂布私通耶？」蟬泣曰：「妾在後園看花，呂布突至。妾方驚避，布曰：『我乃太師之子，何必相避？』提戟趕妾至鳳儀亭。妾見其心不良，恐為所逼，欲投荷池自盡，卻被這廝抱住。正在生死之間，得太師來，救了性命。」董卓曰：「我今將汝賜與呂布，何如？」貂蟬大驚，哭曰：「妾身已事貴人，今忽欲下賜家奴，妾寧死不辱！」遂掣壁間寶劍欲自刎。,"Li Ru felt satisfied. He took leave of his master and went away. Dong Zhuo went to his private rooms and called Diao Chan.""What were you doing there with Lu Bu?"" said he.She began to weep, saying, ""Thy handmaid was in the garden among the flowers, when he rushed in on me. I was frightened and ran away. He asked why I ran away from a son of the family and pursued me right to the Phoenix Pavilion, where you saw us. He had that halberd in his hand all the time. I felt he was a vicious man and would force me to his will, so I tried to throw myself into the lily pond, but he caught me in his arms and held me so that I was helpless. Luckily just at that moment you came and saved my life!""""Suppose I send you to him,"" said Dong Zhuo.Stunned, she wailed profusely, ""What have thy handmaid done? My honor of serving Your Highness could not bear to be given to a mere underling! Never! I would rather die!""And with this she snatched down a dagger hanging on the wall to kill herself."
卓慌奪劍擁抱曰：「吾戲汝！」貂蟬倒於卓懷，掩面大哭曰：「此必李儒之計也！儒與布交厚，故設此計；卻不顧惜太師體面與賤妾性命。妾當生噬其肉！」卓曰：「吾安忍捨汝耶？」蟬曰：「雖蒙太師憐愛，但恐此處不宜久居，必被呂布所害。」卓曰：「吾明日和你歸郿塢去，同受快樂，慎勿憂疑。」蟬方收淚拜謝。次日，李儒入見曰：「今日良辰，可將貂蟬送與呂布。」卓曰：「布與我有父子之分，不便賜與。我只不究其罪。汝傳我意，以好言慰之可也。」儒曰：「太師不可為婦人所惑。」卓變色曰：「汝之妻肯與呂布否？貂蟬之事，再勿多言；言則必斬！」李儒出，仰天歎曰：「吾等皆死於婦人之手矣！」後人讀書至此，有詩歎之曰：,"Dong Zhuo plucked it from her hand and, throwing his arms about her, and cried, ""I was only joking!""She lay back on his breast hiding her face and sobbing bitterly.""This is the doing of that Li Ru,"" said she. ""He is much too thick with Lu Bu. He suggested that, I know. Little he cares for the Imperial Rector's reputation or my life. Oh! I could eat him alive!""""Do you think I could bear to lose you?"" said Dong Zhuo.""Though you love me yet I must not stay here. That Lu Bu will try to ruin me if I do. I fear him!""""We will go to Meiwu tomorrow, you and I, and we will be happy together and have no cares.""She dried her tears and thanked him. Next day Li Ru came again to persuade Dong Zhuo to send the damsel to Lu Bu.""This is a propitious day,"" said Li Ru.""He and I standing in the relation of father and son. I cannot very well do that,"" said Dong Zhuo. ""But I will say no more about his fault. You may tell him so and soothe him as well as you can.""""You are not being beguiled by the woman, are you?"" said Li Ru.Dong Zhuo colored, saying, ""Would you like to give your wife to some body else? Do not talk about this any further. It would be better not to!""Li Ru left the chamber. When he got outside, he cast his eyes up to heaven, saying, ""We are dead people —-slain by the hand of this girl!""When a scholar of history reached this episode he wrote a verse or two:"
司徒妙算托紅裙，不用干戈不用兵。三戰虎牢徒費力，凱歌卻奏鳳儀亭。,"Just introduce a woman,Conspiracies succeed;Of soldiers, or their weapons,There really is no need.They fought their bloody battles,And doughty deeds were done;But in a garden summer houseThe victory was won."
董卓即日下令還郿塢，百官俱拜送。貂蟬在車上，遙見呂布於稠人之內，眼望車中。貂蟬虛掩其面，如痛哭之狀。車已去遠，布緩轡於土岡之上，眼望車塵，歎惜痛恨。忽聞背後一人問曰：「溫侯何不從太師去，乃在此遙望而發歎？」布視之，乃司徒王允也。,"The order was given to journey to Meiwu, and the whole body of officers assembled to add luster to the start. Diao Chan, from her carriage, saw Lu Bu among the crowd. She at once dropped her eyes and assumed an appearance of deepest melancholy. After the cavalcade started and when her carriage had almost disappeared in the distance, the disappointed lover reined in his steed on a mount whence he could watch the dust that rose around it. Unutterable sadness filled his heart.Suddenly a voice said, ""Why do you not accompany the Prime Minister, General, instead of standing here and sighing?""It was Wang Yun."
相見畢，允曰：「老夫日來因染微恙，閉門不出，故久未得與將軍一見。今日太師駕歸郿塢，只得扶病出送，卻喜得晤將軍。請問將軍，為何在此長歎？」布曰：「正為公女耳。」允佯驚曰：「許多時尚未與將軍耶？」布曰：「老賊自寵幸久矣！」允佯大驚曰：「不信有此事！」布將前事一一告允。允仰面跌足，半晌不語；良久，乃言曰：「不意太師作此禽獸之行！」因挽布手曰：「且到寒舍商議。」布隨允歸。允延入密室，置酒款待。布又將鳳儀亭相遇之事，細說一遍。允曰：「太師淫吾之女，奪將軍之妻，誠為天下恥笑-－非笑太師，笑允與將軍耳！然允老邁無能之輩，不足為道；可惜將軍蓋世英雄，亦受此汙辱也！」,"""I have been confined to the house by illness these few days,"" continued he, ""so I have not seen you. But I had to struggle out today to see the Prime Minister set off. This meeting is most fortunate. But why were you sighing?""""Just on account of that daughter of yours,"" said Lu Bu.Feigning great astonishment, Wang Yun said, ""So long a time and yet not given to you!""""The old ruffian has fallen in love with her himself!""""Surely this cannot be true.""Lu Bu related the whole story while Wang Yun listened, silent, but stamping on the ground as with irritation and perplexity.After a long time Wang Yun said, ""I did not think he was such a beast!""Taking Lu Bu by the hand, Wang Yun said, ""Come to my house, and we will talk it over.""So they went away together to the house and retired to a secret room. After some refreshments, Lu Bu told the whole story of the episode in Phoenix Pavilion just as it happened.Wang Yun said, ""He seems to have corrupted my little girl and has stolen your wife. He will be an object of shame and ridicule to the whole world. And those who do not laugh at him will laugh at you and me. Alas! I am old and powerless and can do nothing. More pitied than blamed! But you, General, you are a warrior, the greatest hero in the world. Yet you have been put to this shame and exposed to this contempt!"""
布怒氣沖天，拍案大叫。允急曰：「老夫失語，將軍息怒。」布曰：「誓當殺此老賊，以雪吾恥！」允急掩其口曰：「將軍勿言，恐累及老夫。」布曰：「大丈夫生居天地間，豈能鬱鬱久居人下！」允曰：「以將軍之才，誠非董太師所可限制。」布曰：「吾欲殺此老賊，奈是父子之情，恐惹後人議論。」允微笑曰：「將軍自姓呂，太師自姓董。擲戟之時，豈有父子情耶？」布奮然曰：「非司徒言，布幾自誤！」,"A wave of fierce wrath rolled up in Lu Bu. Banging the table he shouted and roared.His host ostentatiously tried to calm him, saying, ""I forgot myself. I should not have spoken like that. Do not be so angry, I pray!""""I will kill the wretch, I swear it! In no other way can I wash away my shame.""""No, no! Do not say such a thing,"" said Wang Yun, putting his hand over the other's mouth. ""You will bring trouble on poor me and my family!""""When one is born great, one cannot be patient for long under another person's domination!"" said Lu Bu.""It needs someone greater than the Prime Minister to limit the scope of such talents as yours.""Lu Bu said, ""I would not mind killing the old wretch were it not for the relation in which we stand. I fear to provoke the hostile criticism of posterity.""Wang Yun shook his head, saying, ""Your name is Lu Bu; his is Dong Zhuo. Where was the paternal feeling when he threw the halberd at you?""""I would have been misled, had you not said that!"" said Lu Bu hotly."
允見其意已決，便說之曰：「將軍若扶漢室，乃忠臣也，青史傳名，流芳百世；將軍若助董卓，乃反臣也，載之史筆，遺臭萬年。」布避席下拜曰：「布意已決，司徒勿疑。」允曰：「但恐事或不成，反招大禍。」布拔帶刀，剌臂出血為誓。允跪謝曰：「漢祀不斬，皆出將軍之賜也。切勿洩漏！臨期有計，自當相報。」,"Wang Yun saw the effect of his words and continued, ""It would be a loyal deed to restore the House of Han, and history would hand down your name to posterity perpetually fragrant. If you lend your aid to Dong Zhuo, you will be a traitor and your name will be tainted through all ages.""Lu Bu rose from his place and bowed to Wang Yun.""I have decided,"" said he. ""You need not fear, Sir.""""But yet you may fail and bring upon yourself misfortune,"" said Wang Yun.Lu Bu drew his dagger, pricking his arm, and swearing by the blood that flowed.Wang Yun fell on his knees and thanked him.""Then the Han sacrifices will not be cut off, and you will be their savior. But this must remain a secret, and I will tell you how the plot shall be worked out."""
布慨諾而去。允即請僕射士孫瑞、司隸校尉黃琬商議。瑞曰：「方今主上有疾新愈，可遣一能言之人，往郿塢請卓議事；一面以天子密詔付呂布，使伏甲兵於朝門之內，引卓入誅之：此上策也。」琬曰：「何人敢去？」瑞曰：「呂布同郡騎都尉李肅，以董卓不遷其官，甚是懷怨。若令此人去，卓必不疑。」允曰：「善。」請呂布共議。布曰：「昔日勸吾殺丁建陽，亦此人也。今若不去，吾先斬之。」使人密請肅至。,"Lu Bu took leave with great emotion.Wang Yun took into his confidence two colleagues, Court Administrator Shisun Rui and Imperial Commander Huang Wan.Shisun Rui said, ""The moment is favorable. The Emperor has just recovered from his illness, and we can dispatch an able talker to Meiwu to persuade Dong Zhuo to come here to discuss affairs. Meanwhile we will obtain a secret decree as authority for Lu Bu to lay an ambush just inside the Palace gates to kill Dong Zhuo as he enters. This is the best plan to adopt.""""But who would dare to go?"" said Huang Wan.""Li Su, General of the Imperial Tiger Army, would go. He belongs to the same region as Lu Bu and is very angry with the Prime Minister for not advancing him. His going would assure us the plan would be completed.""""Good,"" said Wang Yun. ""Let us see what Lu Bu thinks of it.""When Lu Bu was consulted, he told them that this Li Su's persuasion had led him to kill Ding Yuan, his former benefactor.""If Li Su refuses this mission, I will kill him,"" said Lu Bu.So they sent for Li Su."
布曰：「昔日公說布，使殺丁建陽而投董卓；今卓上欺天子，下虐生靈，罪惡貫盈，人神共憤。公可傳天子詔往郿塢，宣卓入朝，伏兵誅之，力扶漢室，共作忠臣。尊意若何？」肅曰：「我亦欲除此賊久矣，恨無同心者耳。今將軍若此，是天賜也，肅豈敢有二心？」遂折箭為誓，允曰：「公若能幹此事，何患不得顯官？」,"When Li Su arrived, Lu Bu said, ""Formerly you talked me into killing Ding Yuan and going over to Dong Zhuo. Now we find Dong Zhuo means evil for the Emperor and is an oppressor of the people. His iniquities are many, and he is hated by gods and humans. You go to Meiwu, say you have a command from the Emperor to summon the Prime Minister to the Palace. He will come, and he will be put to death. You will have the credit of being loyal and restoring the Hans. Will you undertake this?""""I also wish to slay him,"" was the reply. ""But I could not find anyone to assist me. How can I hesitate? Your intervention is directly from Heaven!""And Li Su snapped an arrow in twain as register of his oath.""If this succeeds, what glorious rank will be yours!"" said Wang Yun."
