chinese,english
以強去強1者，弱；以弱去強者，強。國為善，姦必多。國富而貧，治曰重富，重富者強。國貧而富，治曰重貧，重貧者弱。兵行敵所不敢行，強；事興敵所羞為，利。主貴多變，國貴少變。國少物，削；國多物，強。千乘之國，守千物者削。戰事兵用曰強。戰亂兵息而國削。,"To remove the strong by means of a strong people brings weakness; to remove the strong by means of a weak people brings strength. If the country practises virtue, criminals are many. If the country is rich, but is administered as if it were poor, then it is said to be doubly rich, and the doubly rich are strong. If the country is poor, but is administered as if it were rich, it is said to be doubly poor, and the doubly poor are weak. If its army accomplishes what the enemy dares not accomplish, (a country) is strong; if affairs are undertaken which the enemy is ashamed to perform, (a country) profits. A ruler values many changes, but the country values few changes. If the country has few products it will be dismembered, but if it has many products it will be strong. A country of a thousand chariots that keeps only one outlet for its products will flourish, but if it keeps ten outlets it will be dismembered. If in war its army is efficient, a country will be strong; but if fighting is disorderly and the army unwilling, the country will be dismembered.1. 強 : Another version reads: ""弱"". 《意林》引作「弱」。"
農、商、官三者，國之常官也。三官者生蝨官者六：曰歲，曰食，曰美，曰好，曰志，曰行，六者有樸必削。三官之樸三人，六官之樸一人。以法去法者，強；以法致法者，削。常官法去則治。治大國，小；治小國，大。強之，重削；弱之，重強。夫以強攻弱者，亡；以弱攻強者，王。國強而不戰，毒輸於內，禮樂蝨官生，必削；國遂戰，毒輸於敵國，無禮樂蝨官，必強。舉勞任功曰強，蝨官生必削。農少商多，貴人貧、商貧、農貧，三官貧，必削。,"Farming, trade and office are the three permanent functions in a state, and these three functions give rise to six parasitic functions, which are called: care for old age, living on others, beauty, love, ambition and virtuous conduct. If these six parasites find an attachment, there will be dismemberment. The three functions are attached to three different men, but these six functions may attach themselves to one man. To abolish law by means of the law means strength; to establish law by means of the law means dismemberment. If officials are permanent, law is abolished; but if officials are often transferred, laws are established. In administering a great country, it becomes small; in administering a small country, it becomes great. If the people are made strong, the army will be doubly diminished; if the people are made weak, the army will be doubly strengthened. Indeed, to attack the strong with a strong people spells ruin; to attack the strong with a weak people means the attainment of supremacy. If the country is strong and war is not waged, the poison will be carried into the territory; rites and music and the parasitic functions will arise, and dismemberment will be inevitable. But if the country (being strong) thereupon wages war, the poison will be carried to the enemy, and not suffering from rites and music and the parasitic functions, it will be strong. If those who exert themselves are promoted, and men of merit are employed in office, the country will be strong; but if the parasitic functions arise, dismemberment will be inevitable. If farmers are few and merchants numerous, men in high positions will be poor, merchants will be poor and farmers will be poor; these three functions all being poor, dismemberment is inevitable."
國有禮有樂，有詩有書，有善有修，有孝有弟，有廉有辯：國有十者，上無使戰，必削至亡；國無十者，上有使戰，必興至王。國以善民治姦民者，必亂至削；國以姦民治善民者，必治至強。國用詩書禮樂孝弟善修治者，敵至必削國，不至必貧國。不用八者治，敵不敢至，雖至，必卻；興兵而伐，必取，取必能有之；按兵而不攻，必富。國好力，曰「以難攻」；國好言，曰「以易攻」。國以難攻者，起一得十；以易攻者，出十亡百。,"If in a country there are the following ten evils: rites, music, odes, history, virtue, moral culture, filial piety, brotherly duty, integrity and sophistry, the ruler cannot make the people fight and dismemberment is inevitable; and this brings extinction in its train. If the country has not these ten things and the ruler can make the people fight, he will be so prosperous that he will attain supremacy. A country where the virtuous govern the wicked, will suffer from disorder, so that it will be dismembered; but a country where the wicked govern the virtuous, will be orderly, so that it will become strong. A country which is administered by the aid of odes, history, rites, music, filial piety, brotherly duty, virtue and moral culture, will, as soon as the enemy approaches, be dismembered; if he does not approach, the country will be poor. But if a country is administered without these eight , the enemy dares not approach, and even if he should, he would certainly be driven off when it mobilizes its army and attacks, it will capture its objective, and having captured it, will be able to hold it; when it holds its army in reserve, and makes no attack, it will be rich. A country that loves force is said to attack with what is difficult; a country that loves words is said to attack with what is easy. A country that attacks with what is difficult will gain ten points for every one point that it undertakes, whereas a country that attacks with what is easy will lose a hundred men for every ten that it marches out."
重罰輕賞，則上愛民，民死上；重賞輕罰，則上不愛民，民不死上。興國，行罰，民利且畏；行賞，民利且愛。行刑重其輕者，輕者不生，重者不來。,"If penalties are made heavy and rewards light, the ruler loves his people and they will die for him; but if rewards are made heavy and penalties light, the ruler does not love his people, nor will they die for him. When, in a prosperous country, penalties are applied, the people will reap profit and at the same time stand in awe; when rewards are applied, the people will reap profit and at the same time have love."
國無力而行知巧者，必亡。怯民使以刑必勇，勇民使以賞則死。怯民勇，勇民死，國無敵者強，強必王。貧者使以刑則富，富者使以賞則貧。治國能令貧者富，富者貧，則國多力，多力者王。王者刑九賞一，強國刑七賞三，削國刑五賞五。,"A country that has no strength and that practises knowledge and cleverness, will certainly perish; but a fearful people, stimulated by penalties, will become brave, and a brave people, encouraged by rewards, will fight to the death. If fearful people become brave and brave people fight to the death, (the country will have no match); having no match, it will be strong, and being strong it will attain supremacy. If the poor are encouraged by rewards, they will become rich, and if penalties are applied to the rich, they will become poor. When in administrating a country one succeeds in making the poor rich and the rich poor, then the country will have much strength, and this being the case, it will attain supremacy. In a country that has supremacy, there are nine penalties as against one reward; in a strong country, there will be seven penalties to three rewards, and in a dismembered country, there will be five penalties to five rewards."
國作壹一歲，十歲強；作壹十歲，百歲強；作壹百歲，千歲強，千歲強者王。威以一取十，以聲取實，故能為威者王。,"A country where uniformity of purpose has been established for one year, will be strong for ten years; where uniformity of purpose has been established for ten years, it will be strong for a hundred years; where uniformity of purpose has been established for a hundred years, it will be strong for a thousand years; and a country that has been strong for a thousand years will attain supremacy. One who has prestige captures ten by means of one, and grasps concrete things by means of the very sound of his name. Therefore he who succeeds in having prestige, attains supremacy."
能生不能殺，曰「自攻之國」，必削；能生能殺，曰「攻敵之國」，必強。故攻官，攻力，攻敵，國用其二，舍其一，必強；令用三者，威必王。,"A country which knows how to produce strength but not how to reduce it, may be said to be a country that attacks itself, and it is certain that it will be dismembered; but a country that knows how to produce strength and how to reduce it may be said to be one that attacks the enemy, and it is certain that it will become strong. Therefore, the combating of the parasites, the curtailing of its energies and the attacking of its enemy - if a country employs two of these methods and sets aside only one, it will be strong; but that which employs all three methods will have so much prestige that it will attain supremacy."
十里斷者，國弱；五里斷者，國強。以日治者王，以夜治者強，以宿治者削。,"A country where ten hamlets are the smallest unit for judgments, will be weak; a country where nine hamlets are the smallest unit for judgments, will be strong. He who can create order in one day will attain supremacy; he who creates order in a night will be strong, and he who procrastinates in creating order will have his state dismembered."
舉民眾口數，生者著，死者削。民不逃粟，野無荒草，則國富，國富者強。以刑去刑，國治；以刑致刑，國亂。故曰：行刑重輕，刑去事成，國強；重重而輕輕，刑至事生，國削。刑生力，力生強，強生威，威生惠，惠生於力。舉力以成勇戰，戰以成知謀。,"If the whole population is registered at birth and erased at death, there would be no people who would escape agriculture, and in the fields there would be no fallow land. Thus the country would be rich, and being rich it would be strong. If penalties are removed by means of penalties, the country will enjoy order, but if penalties are set up by means of penalties, the country will be in disorder. Therefore is it said: 'In applying penalties, punish heavily the light offences.' If punishments are abolished, affairs will succeed and the country will be strong. But if heavy offences are punished heavily and light offences lightly, penalties will appear, trouble will arise and such a state will be dismembered. Punishment produces force, force produces strength, strength produces awe, awe produces kindness. Kindness has its origin in force."
金生而粟死，粟生而金死。本物賤，事者眾，買者少，農困而姦勸；其兵弱，國必削至亡。金一兩生於境內，粟十二石死於境外。粟十二石生於境內，金一兩死於境外。國好生金於境內，則金粟兩死，倉府兩虛，國弱。國好生粟於境內，則金粟兩生，倉府兩實，國強。,"The appearance of gold means the disappearance of grain, and the appearance of grain means the disappearance of gold. If products are cheap - those who occupy themselves with agriculture being many, and buyers being few - farmers will be in hard straits and wickedness will be encouraged, so that the army will be weak and the state will certainly be dismembered and come to extinction. For every ounce of gold appearing within its borders, twelve piculs of grain will disappear abroad; but for every twelve piculs of grain appearing within its borders, one ounce of gold will disappear abroad. If a country favours the appearance of gold within its borders, then gold and grain will both disappear, granary and treasury will both be empty, and the state will be weak. But if a country favours the appearance of grain within its borders, then gold and grain will both appear, granary and treasury will both be filled, and the state will be strong."
