chinese,english
無宿治，則邪官不及為私利於民，而百官之情不相稽。百官之情不相稽，則農有餘日。邪官不及為私利於民，則農不敝。農不敝而有餘日，則草必墾矣。,"If there is no procrastination in the creating of order, depraved officials have no opportunity of gaining private profits at the expense of the people, nor will the hundred officials be in a condition to temporise and to shift responsibilities on to one another. If the hundred officials are not in a condition to temporise and shift responsibilities on to one another, then agriculture will know days of surplus; and if the depraved officials have no opportunity of gaining private profits at the expense of the people, then agriculture will not be ruined. If agriculture is not ruined, but knows days of surplus, then it is certain waste lands will be brought under cultivation."
訾粟而稅，則上壹而民平。上壹則信，信則官不敢為邪。民平則慎，慎則難變。上信而官不敢為邪，民慎而難變，則下不非上，中不苦官。下不非上，中不苦官，則壯民疾農不變。壯民疾農不變，則少民學之不休。少民學之不休，則草必墾矣。,"If taxes are levied according to the measure of grain, then the ruler will have system and consequently the people will have peace. If the ruler has system, he will be a man of his word, and being a man of his word, the officials will not dare to commit any depravity. If the people have peace, they are circumspect, and being circumspect, they are difficult to move. If the ruler is a man of his word and in consequence the officials dare not commit any depravity, and if the people are circumspect and consequently difficult to move, then there will be no criticism by inferiors of superiors, nor will the officials be regarded as obnoxious. If so, then the able-bodied will be strenuous in agriculture, without changing. If the able-bodied are so, then the youthful will learn it without resting, and when the youthful learn it without resting, it is certain waste lands will be brought under cultivation."
無以外權任爵與官，則民不貴學問，又不賤農。民不貴學則愚，愚則無外交，無外交則勉農而不偷。民不賤農，則國安不殆。國安不殆，勉農而不偷，則草必墾矣。,"If dignities are not conferred nor office given according to deviating standards, then the people will not prize learning nor, besides, will they hold agriculture cheap. If they do not prize learning, they will be stupid, and being stupid, they will have no interest in outside things; when they have no interest in outside things, the country will exert itself in agriculture and not neglect it, and when the people do not hold agriculture cheap, the country will be peaceful and free from peril. If the country is peaceful and free from peril, exerts itself in agriculture and does not neglect it, then it is certain waste lands will be brought under cultivation."
祿厚而稅多，食口眾者，敗農者也；則以其食口之數，賦而重使之，則辟淫游惰之民無所於食。無所於食則必農，農則草必墾矣。,"If salaries are liberal and consequently taxes numerous, then the large number of persons who live on others would mean ruin for agriculture; but if they are assessed according to the calculated number of persons who live on others and are made to work hard, then the wicked and licentious, idle and lazy will have nothing on which to live, and having nothing on which to live, they will take up agriculture; when they take up agriculture, then it is certain waste lands will be brought under cultivation."
使商無得糴，農無得糶。農無得糶，則窳惰之農勉疾。商無得糴，則多歲不加樂；多歲不加樂，則饑歲無裕利；無裕利則商怯，商怯則欲農。窳惰之農勉疾，商欲農，則草必墾矣。,"Do not allow merchants to buy grain nor farmers to sell grain. If farmers may not sell their grain, then the lazy and inactive ones will exert themselves and be energetic; and, if merchants may not buy grain, then they have no particular joy over abundant years. Having no particular joy over abundant years, they do not make copious profit in years of famine, and making no copious profit, merchants are fearful, and being fearful, they desire to turn farmers. If lazy and inactive farmers exert themselves and become energetic, and if merchants desire to turn farmers, then it is certain waste lands will be brought under cultivation."
聲服無通於百縣，則民行作不顧，休居不聽。休居不聽，則氣不淫；行作不顧，則意必壹。意壹而氣不淫，則草必墾矣。,"If music and fine clothing do not penetrate to all the districts, the people, when they are at work, will pay no attention to the latter, and when they are at rest, will not listen to the former. If, at rest, they do not listen to the one, their spirits will not become licentious; and if, at work, they pay no attention to the other, their minds are concentrated. If their minds are concentrated and their spirits not licentious, then it is certain waste lands will be brought under cultivation."
無得取庸，則大夫家長不建繕。愛子不惰食，惰民不窳，而庸民無所於食，是必農。大夫家長不建繕，則農事不傷。愛子不惰食，惰民不窳，則故田不荒。農事不傷，農民益農，則草必墾矣。,"If it is impossible to hire servants, great prefects and heads of families are not supported and beloved sons cannot eat in laziness. If lazy people cannot be inactive, and hirelings do not find a livelihood, there will certainly be agriculture: when great prefects and heads of families are not supported, agricultural affairs will not suffer; and when beloved sons cannot eat in laziness and lazy people cannot be inactive, then the fields will not lie fallow. If agricultural affairs do not suffer and farmers increase their farming, then it is certain waste lands will be brought under cultivation."
廢逆旅，則姦偽躁心私交疑農之民不行。逆旅之民無所於食，則必農，農則草必墾矣。,"If hostelries for the reception of travellers are abolished, criminals, agitators, conspirators and those who unsettle the minds of the farmers will not travel and in consequence, hotel-keepers will have no means of subsistence. This being so, they will certainly become farmers, and so it is certain waste lands will be brought under cultivation."
壹山澤，則惡農慢惰倍欲之民無所於食；無所於食則必農，農則草必墾矣。,"If mountains and moors are brought into one hand, then the people who hate agriculture, the tardy and lazy and those who desire double profit, will have no means of subsistence. This being so, they will certainly become farmers, and so it is certain waste lands will be brought under cultivation."
貴酒肉之價，重其租，令十倍其樸。然則商酤少，民不能喜酣奭，大臣不為荒飽。商酤少，則上不費粟；民不能喜酣奭，則農不慢；大臣不荒飽，則國事不稽，主無過舉。上不費粟，民不慢農，則草必墾矣。,"If the prices of wine and meat are made high, and the taxes on them so heavy that they amount to ten times the cost of production, then merchants and retailers will be few, farmers will not be able to enjoy drinking-bouts, and officials will not overeat. If merchants and retailers are few, the ruler does not waste his grain; if the people are unable to enjoy drinking bouts, agriculture will not be neglected; if officials do not overeat, the affairs of the state will not be delayed and the prince will not err in his promotions. If the ruler does not waste the grain and if the people do not neglect agriculture, then it is certain waste lands will be brought under cultivation."
