chinese,english
話說眾回子因湯知縣枷死了老師夫，鬧將起來，將縣衙門圍的水泄不通，口口聲聲只要揪出張靜齋來打死。知縣大驚，細細在衙門裏追問，纔曉得是門子透風。知縣道：「我至不濟，到底是一縣之主，他敢怎的我？設或鬧了進來，看見張世兄，就有些開交不得了。如今須是設法先把張世兄弄出去，離了這個地方上纔好。」忙喚了幾個心腹的衙役進來商議。幸得衙門後身緊靠著北城，幾個衙役，先溜到城外，用繩子把張、范二位繫了出去。換了藍布衣服、草帽、草鞋，尋一條小路，忙忙如喪家之狗，急急如漏網之魚，連夜找路回省城去了。,"The Moslems were out for blood. They besieged the yamen gate so closely that not a drop of water could have trickled through, and threatened to drag Mr. Zhang out and beat him to death. The magistrate was thoroughly frightened. After a careful investigation he discovered that one of his subordinates had told the Moslems of Mr. Zhang's part in the business. 「After all, I am head of the county and they dare not touch me,」 he told Mr. Zhang and Fan Jin. 「But if they break in and find Mr. Zhang here, there's no knowing what may happen. I must think of a way to get you out of here. Once you have left, all will be well.」He immediately summoned his most reliable men to discuss the question. Luckily, the back of the yamen was hard by the north gate of the city, and after several men had slipped outside the city wall, Mr. Zhang and Fan Jin were lowered to them by ropes. Then Zhang and Fan changed into blue cloth gowns, straw hats and sandals, and, stealthily as stray dogs, swiftly as fish escaping from the net, fled back to the provincial capital."
這裏學師、典史，俱出來安民，說了許多好話，眾回子漸漸的散了。湯知縣把這情由細細寫了個稟帖，稟知按察司。按察司行文書檄了知縣去。湯奉見了按察司，摘去紗帽，只管磕頭。按察司道：「論起來，這件事你湯老爺也忒孟浪了些。不過枷責就罷了，何必將牛肉堆在枷上？這個成何刑法？但此刁風也不可長，我這裏少不得拿幾個為頭的來盡法處置。你且回衙門去辦事。凡事須要斟酌些，不可任性。」湯知縣又磕頭說道：「這事是卑職不是。蒙大老爺保全，真乃天地父母之恩，此後知過必改。但大老爺審斷明白了，這幾個為頭的人，還求大老爺發下卑縣發落，賞卑職一個臉面。」按察司也應承了。知縣叩謝出來，回到高要。過了些時，果然把五個為頭的回子問成奸民挾制官府，依律枷責，發來本縣發落。知縣看了來文，掛出牌去。次日早晨，大搖大擺出堂，將回子發落了。,"Meantime examiners and officials had gone to the yamen gate to pacify the people and speak them fair, until gradually the Moslems dispersed. Magistrate Tang sent a detailed report of the whole business to the provincial commissioner of justice, who summoned him to the provincial capital. On entering the presence of the commissioner, Magistrate Tang took off his gauze cap and kowtowed again and again.「To tell the truth, you acted a little too hastily,」 said the commissioner. 「To pillory the culprit would have been punishment enough. Why pile the beef on the pillory? What sort of penalty is that? However, this insubordination must be hipped in the bud. I shall have to punish the ringleaders. Go back to your yamen, and take care not to act so rashly in future.」Magistrate Tang kowtowed again. 「I bungled this affair,」 he confessed. 「Since you have overlooked my fault, I owe you the same gratitude that I do to heaven and earth or to my parents. In future I promise to do better. But when your decision is made, Your Excellency, I hope you will allow me to punish the ringleaders in my own county, to recover some of the face I have lost.」 When his superior gave his consent, Magistrate Tang thanked him and left.Some time later, five of the Moslem leaders in Gaoyao were found guilty of insubordination and sentenced to be pilloried in their own county. When Magistrate Tang received this order he issued a notice summoning his officers, and the very next morning swaggered into the court and punished the offenders."
正要退堂，見兩個人進來喊冤，知縣叫帶上來問。一個叫做王小二，是貢生嚴大位的緊鄰。去年三月內，嚴貢生家一口纔過下來的小豬，走到他家去，他慌送回嚴家。嚴家說：豬到人家，再尋回來，最不利市，押著出了八錢銀子，把小豬就賣與他。這一口豬在王家已養到一百多斤，不想錯走到嚴家去，嚴家把豬關了。小二的哥子王大走到嚴家討豬。嚴貢生說，豬本來是他的：「你要討豬，照時值估價，拿幾兩銀子來，領了豬去。」王大是個窮人，那有銀子，就同嚴家爭吵了幾句；被嚴貢生幾個兒子，拿拴門的閂，趕麵的杖，打了一個臭死，腿都打折了，睡在家裏。所以小二來喊冤。,"He was just about to leave, when two men came in to appeal to him, and he ordered them to approach for questioning. The first was called Wang Er, and he lived next door to Senior Licentiate Yan. In the third month of the previous year the Yan family's sucking pig had strayed into the Wangs' yard, but the Wangs had returned it immediately. Yan said, 「To take a pig back like this means very bad luck.」 He forced the Wangs to buy it for eighty cents of silver. They had fattened it up till it weighed over a hundred catties, when it wandered into the Yans' yard by mistake. The Yan family shut it up, and when Wang's elder brother went to ask for it, Senior Licentiate Yan said, 「It's my pig, and if you want it you must pay me the market price for it.」 Wang was a poor man—how could he find the money? But when he started to argue, Yan's sons took the bolt of the door and a rolling-pin and beat him within an inch of his life. He was lying at home now with a broken leg, so his younger brother had come to lodge a complaint."
知縣喝過一邊，帶那一個上來問道：「你叫做甚麼名字？」那人是個五六十歲的老者，稟道：「小人叫做黃夢統，在鄉下住。因去年九月上縣來交錢糧，一時短少，央中向嚴鄉紳借二十兩銀子，每月三分錢，寫立借約，送在嚴府，小的卻不曾拿他的銀子。走上街來，遇著個鄉裏的親眷，他說有幾兩銀子借與小的，交個幾分數，再下鄉去設法；勸小的不要借嚴家的銀子。小的交完錢糧，就同親戚回家去了。至今已是大半年，想起這事來，問嚴府取回借約，嚴鄉紳問小的要這幾個月的利錢。小的說：『並不曾借本，何得有利？』嚴鄉紳說小的當時拿回借約，好讓他把銀子借與別人生利；因不曾取約，他將二十兩銀子也不能動，誤了大半年的利錢，該是小的出。小的自知不是，向中人說，情願買個蹄、酒上門取約。嚴鄉紳執意不肯，把小的驢和米同稍袋都叫人短了家去，還不發出紙來。這樣含冤負屈的事，求太老爺做主！」知縣聽了，說道：「一個做貢生的人，忝列衣冠，不在鄉里間做些好事，只管如此騙人，其實可惡！」便將兩張狀子都批准，原告在外伺候。早有人把這話報知嚴貢生，嚴貢生慌了，自心裏想：「這兩件事都是實的，倘若審斷起來，體面上須不好看。『三十六計，走為上計』！」捲捲行李，一溜煙走急到省城去了。,"The magistrate turned to the other plaintiff, who was between fifty and sixty years old, and asked, 「What is your name?」「Huang Meng-tong,」 was the answer. 「I live in the country. In the ninth month last year I came to the city to pay my taxes. But I didn't have enough money, so I asked a go-between to borrow twenty taels of silver for me from Senior Licentiate Yan at three per cent monthly interest. I signed a contract with Senior Licentiate Yan, but I didn't take the money, for here in town I met a relative from the country who said he could lend me part of the amount and I should borrow the rest from friends in the country. He advised me not to borrow from Senior Licentiate Yan. After paying my taxes, I went back with this relative. That was more than six months ago. Just lately I remembered the agreement I had signed, and came back to town to ask Senior Licentiate Yan to give it back to me. But he demanded that I pay the interest for all these months. 'I didn't borrow the money, so why should I pay interest?' I asked. Senior Licentiate Yan said if I had taken the agreement back at once, he could have lent the money to someone else. As it was, I had prevented his using those twenty taels, and made him lose half a year's interest. Now I must pay it. I realized I was in the wrong, and asked the go-between to speak for me, promising to take Senior Licentiate Yan presents of pork and wine if he would give me back the contract. But he still insisted on having the money. Now he has seized my donkey and grain sacks as a fine, yet he still hasn't returned that contract. I ask you, sir, to judge such underhand dealings!」「A man who is a senior licentiate ranks among the scholars,」 declared Magistrate Tang, 「yet instead of doing good deeds, he cheats poor people like this. Disgraceful!」 He approved both plaintiffs' petitions, and told them to wait outside.Now somebody had already reported this to Yan. He was panic-stricken, and thought, 「Both complaints are true, and if I have to appear in court I shall lose face. Better make myself scarce.」 He bundled some things together and fled to the provincial capital."
知縣准了狀子，發房出了差，來到嚴家，嚴貢生已是不在家了，只得去會嚴二老官。二老官叫做嚴大育，字致和；他哥字致中；兩人是同胞弟兄，卻在兩個宅裏住。這嚴致和是個監生，家有十多萬銀子。嚴致和見差人來說了此事，他是個膽小有錢的人，見哥子又不在家，不敢輕慢，隨即留差人喫了酒飯，拿兩千錢打發去了。忙著小廝去請兩位舅爺來商議。,"The magistrate signed a warrant and sent runners to Yan's house to arrest him, but he had flown. Then they went to his younger brother Yan Da-yu. These two brothers did not live together. Yan Da-yu had bought himself the rank of a scholar of the Imperial College and had more than one hundred thousand taels of silver. But, rich as he was, he was timid. When the runners showed him the warrant and he learned that his brother was not at home, he dared not offend them. He entertained them to a meal, gave them two thousand coins and sent them off. Then he hurriedly ordered a servant to ask his two brothers-in-law over to discuss the matter."
他兩個阿舅姓王，一個叫王德，是府學廩膳生員；一個叫王仁，是縣樂廩膳生員。都做著極興頭的館，錚錚有名；聽見妹丈請，一齊走來。嚴致和把這件事從頭告訴一遍：「現今出了差票在此，怎樣料理？」王仁笑道：「你令兄平日常說同湯公相與的，怎的這一點事就嚇走了？」嚴致和道：「這話也說不盡了；只是家兄而今兩腳站開，差人卻在我這裏吵鬧要人，我怎能丟了家裏的事，出外去尋他？他也不肯回來。」王仁道：「各家門戶，這事究竟也不與你相干。」王德道：「你有所不知。衙門裏的差人，因妹丈有碗飯喫，他們做事，只揀有頭髮的抓，若說不管他，就更要的人緊了。如今有個道理，是『釜底抽薪』之法。只消央個人去把告狀的安撫住了，眾人遞個攔詞，便歇了。諒這也沒有多大的事。」,"One of the brothers-in-law was called Wang De and the other Wang Ren. They were scholars, one of whom drew a subsidy from the prefectural school and the other from the county school. Both of them made a very good thing out of teaching, and were famous as tutors. When they received Yan Da-yu's message, they came at once.Yan Da-yu told them all that had happened. 「There's even a warrant out for his arrest. What's to be done?」 he asked.Wang Ren laughed and said, 「Your brother is always saying how friendly he is with Magistrate Tang. How could he be frightened away by a little thing like this?」「Never mind that,」 said Yan Da-yu. 「The fact is that my brother has gone, while runners from the yamen have been to my house looking for someone to arrest. I can't drop my own business to go and look for him. And he wouldn't come back anyway.」「His private affairs have nothing to do with you,」 said Wang Ren.「That's where you're wrong,」 protested Wang De. 「Because our brother-in-law is rich, the runners will consider him as lawful prey. If nothing is done, they can make things hot for him. I suggest that we go to the root of the matter by sending mediators to satisfy the plaintiffs. Then we can address an appeal to the magistrate and avoid further trouble.」"
王仁道：「不必又去央人，就是我們愚兄弟兩個去尋了王小二、黃夢統，到家替他分說開；把豬也還與王家，再折些須銀子給他養那打壞了的腿；黃家那借約，查了還他。一天的事，都沒有了。」嚴致和道；「老舅怕不說的是；只是我家嫂也是個糊塗人，幾個舍姪，就像生狼一般，一總也不聽教訓。他怎肯把這豬和借約拿出來？」王德道：「妹丈，這話也說不得了。假如你令嫂、令姪拗著，你認晦氣，再拿出幾兩銀子，折個豬價，給了王姓的；黃家的借約，我們中間人立個紙筆與他，說尋出作廢紙無用。這事纔得落臺，纔得耳跟清靜。」當下商議已定，一切辦得停妥。嚴二老官連在衙門使費共用去了十幾兩銀子，官司已了。,"「If mediators are needed,」 said Wang Ren, 「we two can call on Wang Er and Huang Meng-tong, and talk them round. We'll return the pig to the Wang family along with some silver to compensate for the elder brother's broken leg. And we'll look for Huang's contract and return it to him. Then we shouldn't have any more trouble.」「Yes,」 said Yan Da-yu. 「But my sister-in-law is a silly woman and my nephews are like young wolves—they never listen to reason. They'll refuse to return the pig and the contract.」「This is a serious matter,」 said Wang De. 「If your sister-in-law and nephews are stubborn, that will be your bad luck. Because then you will have to pay the Wangs for the pig. As for the contract, in our capacity as mediators we will draw up a statement for Huang Meng-tong to the effect that the old contract is null and void. That's the only thing to do. Then you'll hear no more about it.」 They decided at once that this was the only solution, and handled the whole business very competently. And when Yan Da-yu had spent over ten taels of silver on the plaintiffs and yamen officials, the case was closed."
過了幾日，整治一席酒，請二位舅爺來致謝。兩個秀才，拿班做勢，在館裏又不肯來。嚴致和吩咐小廝去說；「奶奶這些時心裏有些不好。今日一者請喫酒，二者奶奶要同舅爺們談談。」二位聽見這話，方纔來。嚴致和即迎進廳上。喫過茶，叫小廝進去說了。丫鬟出來請二位舅爺。進到房內，抬頭看見他妹子王氏，面黃肌瘦，怯生生的，路也走不全，還在那裏自己裝瓜子，剝粟子，辦圍碟。見他哥哥進來，丟了過來拜見。奶媽抱著妾出的小兒子，年方三歲，帶著銀項圈，穿著紅衣服，來叫舅舅。二位喫了茶，一個丫鬟來說：「趙新娘進來拜舅爺。」二位連忙道：「不勞罷。」坐下說了些家常話，又問妹子的病，「總是虛弱，該多用補藥」，說罷，前廳擺下酒席，讓了出去上席。,"A few days later, Yan Da-yu invited the two Wang brothers to a feast to express his gratitude. When they made excuses and would not come, he ordered his servant to tell them that their sister was unwell and wanted to see them too. On hearing this, the two scholars came. Yan Da-yu invited them into the front hall and offered them tea, then told a servant to inform his wife that they had arrived. Presently a maid invited them to Mrs. Yan's room, and they went in. Their sister had grown very pale and thin. She looked too frail to walk, yet she was preparing melon seeds, chestnuts and other sweetmeats for them. When she saw her brothers, she left her work and stepped forward to welcome them; and the nurse brought in the concubine's three-year-old son, in a silver necklet and red suit, to see his uncles.While they were sipping tea, another maid announced, 「The new wife asks permission to pay her respects.」「We won't disturb her,」 the Wang brothers responded politely. Then they sat down for a chat and asked after their sister's illness, urging her, since she was so weak, to take more cordials. While they were talking, a feast was laid in the front hall and they were invited to the table."
敘些閒話，又提起嚴致中的話來。王仁笑著問王德道：「大哥，我倒不解，他家大老那宗筆下，怎得會補起廩來的？」王德道：「這是三十年前的話。那時宗師都是御史出來，本是個吏員出身，知道甚麼文章！」王仁道：「老大而今越發離奇了，我們至親，一年中也要請他幾次，卻從不曾見他家一杯酒。想起還是前年出貢豎旗杆，在他家擾過一席。」王德愁著眉道：「那時我不曾去！他為出了一個貢，拉人出賀禮，把總甲、地方都派分子，縣裏狗腿差是不消說，弄了有一二百吊錢，還欠下廚子錢，屠戶肉案子上的錢，至今也不肯還，過兩個月在家吵一回，成甚麼模樣。」,"In the course of conversation Senior Licentiate Yan's name came up. Wang Ren said to Wang De with a laugh, 「I can't understand, brother, how anyone who writes so badly ever passed the examination and became a stipendiary.」「That was thirty years ago,」 Wang De answered. 「In those days the examiners were all censors—what did they know about compositions?」「He's been growing more and more peculiar,」 said Wang Ren. 「Since we are related, we invite him to several feasts each year, but he never offers us so much as a cup of wine. It was only the year before last, when he became a senior licentiate and put up a flagstaff, that he invited me to a feast.」「I did not go,」 said Wang De with a frown. 「He made that senior licentiate rank a pretext to extract presents from everybody. County runners—even village heads—all had to fork out. He pocketed more than two hundred strings of cash altogether. But he never paid his cook, nor the butcher—even now he still owes them money. Every month or so they make a scene in his house. It's shocking.」"
嚴致和道：「便是我也不好說。不瞞二位老舅，像我家還有幾畝薄田，日逐夫妻四口在家裏度日，豬肉也捨不得買一斤，每常小兒子要喫時，在熟切店內買四個錢的哄他就是了。家兄寸土也無，人口又多，過不得三天，一買就是五斤，還要白煮的稀爛；上頓喫完了，下頓又在門口賒魚。當初分家，也是一樣田地，白白都喫窮了。而今端了家裏花梨椅子，悄悄開了後門，換肉心包子喫。你說這事如何是好！」二位哈哈大笑；笑罷說：「只管講這些混話，誤了我們喫酒。快取骰盆來。」當下取骰子送與大舅爺：「我們行狀元令。」兩位舅爺，一個人行一個狀元令，每人中一回狀元喫一大杯。」兩位就中了幾回狀元，喫了幾十杯。卻又古怪：那骰子竟像知人事的，嚴監生一回狀元也不曾中。二位拍手大笑。喫到四更盡鼓，跌跌撞撞，扶了回去。,"「I am really ashamed of him,」 said Yan Da-yu. 「Though I have a little land, I don't mind telling you, our family of four usually feel it would be extravagant to buy pork. When my son is hungry, we just buy four cash worth of cooked meat for him. But although my brother has no land and so many mouths to feed, every other day he buys about five catties of pork and insists on having it cooked to a turn. Then they finish it all in one meal, and in the evening he gets fish on credit again. We inherited the same amount of land, but he has just eaten up his property; and now he sneaks out the family's ebony chairs through the back door to exchange for pork dumplings. What can I do about it?」The Wang brothers burst out laughing, then said, 「We've been so busy talking about that fool, we've forgotten to drink. Let's have the dice. Whoever wins first place among the palace scholars shall drink a cup.」 Wang De and Wang Ren became palace scholars in turn, and drank a dozen cups apiece. Strangely enough, the dice seemed to know human affairs; because Yan Da-yu did not become a palace scholar even once. Wang Ren and Wang De clapped their hands and roared with laughter, drinking until after midnight when they were carried home."
