chinese,english
有天地，然後萬物生焉。盈天地之間者唯萬物，故受之以《屯》。,"When there were heaven and earth, then afterwards all things were produced. What fills up (the space) between heaven and earth are (those) all things. Hence (Qian and Kun) are followed by Zhun."
《屯》者，盈也。屯者，物之始生也。物生必蒙，故受之以《蒙》。,"Zhun denotes filling up. Zhun is descriptive of things on their first production. When so produced, they are sure to be in an undeveloped condition. Hence Zhun is followed by Meng."
《蒙》者，蒙也，物之稺也。物稺不可不養也，故受之以《需》。,"Meng is descriptive of what is undeveloped,--the young of creatures and things. These in that state require to be nourished. Hence Meng is followed by Xu."
《需》者，飲食之道也。飲食必有訟，故受之以《訟》。,Xu is descriptive of the way in which meat and drink (come to be supplied). Over meat and drink there are sure to be contentions. Hence Xu is followed by Song.
訟必有眾起，故受之以《師》。,Song is sure to cause the rising up of the multitudes; and hence it is followed by Shi.
《師》者，眾也。眾必有所比，故受之以《比》。,"Shi has the signification of multitudes, and between multitudes there must be some bond of union. Hence it is followed by Bi."
《比》者，比也。比必有所畜，故受之以《小畜》。,Bi denotes being attached to. (Multitudes in) union must be subjected to some restraint. Hence Bi is followed by Xiao Xu.
物畜然後有禮，故受之以《履》。,"When things are subjected to restraint, there come to be rites of ceremony, and hence Xiao Xu is followed by Li."
履而泰然後安，故受之以《泰》。,"The treading (on what is proper) leads to Tai, which issues in a state of freedom and repose, and hence Li is followed by Tai."
《泰》者，通也。物不可以終通，故受之以《否》。,"Tai denotes things having free course. They cannot have that for ever, and hence it is followed by Pi (denoting being shut up and restricted)."
物不可以終否，故受之以《同人》。,"Things cannot for ever be shut up, and hence Pi is followed by Tong Ren."
與人同者，物必歸焉，故受之以《大有》。,"To him who cultivates union with men, things must come to belong, and hence Tong Ren is followed by Da You."
有大者不可以盈，故受之以《謙》。,"Those who, have what is great should not allow in themselves the feeling of being full, and hence Da You is followed by Qian."
有大而能謙必豫，故受之以《豫》。,"When great possessions are associated with humility, there is sure to be pleasure and satisfaction; and hence Qian is followed by Yu."
豫必有隨，故受之以《隨》。,"Where such complacency is awakened, (he who causes it) is sure to have followers (Sui)."
以喜隨人者必有事，故受之以《蠱》。,"They who follow another are sure to have services (to perform), and hence Sui is followed by Gu."
《蠱》者，事也。有事而後可大，故受之以《臨》。,"Gu means (the performance of) services. He who performs such services may afterwards become great, and hence Gu is followed by Lin."
《臨》者，大也。物大然後可觀，故受之以《觀》。,"Lin means great. What is great draws forth contemplation, and hence Lin is followed by Guan."
可觀而後有所合，故受之以《噬嗑》。,"He who attracts contemplation will then bring about the union of others with himself, and hence Guan is followed by Shi He."
嗑者，合也。物不可以苟合而已，故受之以《賁》。,"Shi He means union. But things should not be united in a reckless or irregular way, and hence Shi He is followed by Bi."
《賁》者，飾也。致飾然後亨則盡矣，故受之以《剝》。,"Bi denotes adorning. When ornamentation has been carried to the utmost, its progress comes to an end; and hence Bi is followed by Po."
《剝》者，剝也。物不可以終盡剝，窮上反下，故受之以《復》。,"Po denotes decay and overthrow. Things cannot be done away for ever. When decadence and overthrow have completed their work at one end, reintegration commences at the other; and hence Po is followed by Fu."
復則不妄矣，故受之以《无妄》。,"When the return (thus indicated) has taken place, we have not any rash disorder, and Fu. is followed by Wu Wang."
有无妄，然後可畜，故受之以《大畜》。,"Given the freedom from disorder and insincerity (which this name denotes), there may be the accumulation (of virtue), and Wu Wang is followed by Da Xu."
物畜然後可養，故受之以《頤》。,"Such accumulation having taken place, there will follow the nourishment of it; and hence Da Xu is followed by Yi."
《頤》者，養也。不養則不可動，故受之以《大過》。,"Yi denotes nourishing. Without nourishment there could be no movement, and hence Yi is followed by Da Guo."
物不可以終過，故受之以《坎》。,Things cannot for ever be in a state of extraordinary (progress); and hence Da Guo is followed by Kan.
《坎》者，陷也。陷必有所麗，故受之以《離》。,"Kan denotes falling into peril. When one falls into peril, he is sure to attach himself to some person or thing; and hence Kan is followed by Li."
《離》者，麗也。,"Li denotes being attached, or adhering, to."
有天地然後有萬物，有萬物然後有男女，有男女然後有夫婦，有夫婦然後有父子，有父子然後有君臣，有君臣然後有上下，有上下然後禮義有所錯。,"Heaven and earth existing, all (material) things then got their existence. All (material) things having existence, afterwards there came male and female. From the existence of male and female there came afterwards husband and wife. From husband and wife there came father and son. From father and son there came ruler and minister. From ruler and minister there came high and low. When (the distinction of) high and low had existence, afterwards came the arrangements of propriety and righteousness."
夫婦之道不可以不久也，故受之以《恆》。,The rule for the relation of husband and wife is that it should be long-enduring. Hence Xian is followed by Heng.
《恆》者，久也。物不可以久居其所，故受之以《遯》。,Heng denotes long enduring. Things cannot long abide in the same place; and hence Heng is followed by Dun.
《遯》者，退也。物不可以終遯，故受之以《大壯》。,Dun denotes withdrawing. Things cannot be for ever withdrawn; and hence Dun is succeeded by Da Zhuang.
物不可以終壯，故受之以《晉》。,Things cannot remain forever (simply) in the state of vigour; and hence Da Zhuang is succeeded by Jin.
《晉》者，進也。進必有所傷，故受之以《明夷》。,Jin denotes advancing. (But) advancing is sure to lead to being wounded; and hence Jin is succeeded by Ming Yi.
夷者，傷也。傷於外者必反於家，故受之以《家人》。,Yi denotes being wounded. He who is wounded abroad will return to his home; and hence Ming Yi is followed by Jia Ren.
家道窮必乖，故受之以《睽》。,"When the right administration of the family is at an end, misunderstanding and division will ensue; and hence Jia Ren is followed by Kui."
《睽》者，乖也。乖必有難，故受之以《蹇》。,Kui denotes misunderstanding and division; and such a state is sure to give rise to difficulties and complications. Kui therefore is followed by Jian.
《蹇》者，難也。物不可以終難，故受之以《解》。,Jian denotes difficulties; but things cannot remain for ever in such a state. Jian therefore is followed by Jie.
《解》者，緩也。緩必有所失，故受之以《損》。,Jie denotes relaxation and ease. In a state of relaxation and ease there are sure to be losses; and hence Jie is followed by Sun.
損而不已必益，故受之以《益》。,"But when Sun (or diminution) is going on without end, increase is sure to come. Sun therefore is followed by Yi."
益而不已必決，故受之以《夬》。,"When increase goes on without end, there is sure to come a dispersing of it, and hence Yi is followed by Guai."
《夬》者，決也。決必有遇，故受之以《姤》。,Guai denotes dispersion. But dispersion must be succeeded by a meeting (again). Hence Guai is followed by Gou.
《姤》者，遇也。物相遇而後聚，故受之以《萃》。,"Gou denotes such meeting. When things meet together, a collection is then formed. Hence Gou is followed by Cui."
《萃》者，聚也。聚而上者謂之升，故受之以《升》。,"Cui denotes being collected. When (good men) are collected and mount to the highest places, there results what we call an upward advance; and hence Cui is followed by Sheng."
升而不已必困，故受之以《困》。,"When such advance continues without stopping, there is sure to come distress; and hence Sheng is followed by Kun."
困乎上者必反下，故受之以《井》。,"When distress is felt in the height (that has been gained), there is sure to be a return to the ground beneath; and hence Kun is followed by Jing."
井道不可不革，故受之以《革》。,"What happens under Jing requires to be changed, and hence it is followed by Ge (denoting change)."
革物者莫若鼎，故受之以《鼎》。,For changing the substance of things there is nothing equal to the caldron; and hence Ge is followed by Ding.
主器者莫若長子，故受之以《震》。,"For presiding over (that and all other) vessels, no one is equal to the eldest son, and hence Ding is followed by Zhen."
《震》者，動也。物不可以終動，止之，故受之以《艮》。,Zhen conveys the idea of putting in motion. But things cannot be kept in motion forever. The motion is stopped; and hence Zhen is followed by Gen.
《艮》者，止也。物不可以終止，故受之以《漸》。,"Gen gives the idea of arresting or stopping. Things cannot be kept for ever in a state of repression, and hence Gen is followed by Jian."
漸者，進也。進必有所歸，故受之以《歸妹》。,"Jian gives the idea of (gradually) advancing. With advance there must be a certain point that is arrived at, and hence Jian is succeeded by Gui Mei."
得其所歸者必大，故受之以《豐》。,"When things thus find the proper point to which to come, they are sure to become great. Hence Gui Mei is succeeded by Feng."
《豐》者，大也。窮大者必失其居，故受之以《旅》。,"Feng conveys the idea of being great. He whose greatness reaches the utmost possibility, is sure to lose his dwelling; and hence Feng is succeeded by Lu (denoting travellers or strangers)."
旅而无所容，故受之以《巽》。,"We have in it the idea of strangers who have no place to receive them, and hence Lu is followed by Xun."
《巽》者，入也。入而後說之，故受之以《兌》。,"Xun gives the idea of (penetrating and) entering. One enters (on the pursuit of his object), and afterwards has pleasure in it; hence Xun is followed by Dui."
