chinese,english
八卦成列，象在其中矣。因而重之，爻在其中矣。剛柔相推，變在其中矣。繫辭焉而命之，動在其中矣。,"The eight trigrams having been completed in their proper order, there were in each the (three) emblematic lines. They were then multiplied by a process of addition till the (six) component lines appeared. The strong line and the weak push themselves each into the place of the other, and hence the changes (of the diagrams) take place. The appended explanations attach to every form of them its character (of good or ill), and hence the movements (suggested by divination) are determined accordingly."
吉凶悔吝者，生乎動者也。剛柔者，立本者也。變通者，趣時者也。,"Good fortune and ill, occasion for repentance or regret, all arise from these movements. The strong and the weak (lines) have their fixed and proper places (in the diagrams); their changes, however varied, are according to the requirements of the time (when they take place)."
吉凶者，貞勝者也。天地之道，貞觀者也。日月之道，貞明者也，天下之動，貞夫一者也。,"Good fortune and ill are continually prevailing each against the other by an exact rule. By the same rule, heaven and earth, in their course, continually give forth (their lessons); the sun and moon continually emit their light; all the movements under the sky are constantly subject to this one and the same rule."
夫乾，確然示人易矣。夫坤，隤然示人簡矣。爻也者，效此者也。象也者，像此者也。,"Qian, (the symbol of heaven, and) conveying the idea of strength, shows to men its easy (and natural) action. Kun, (the symbol of earth, and) conveying the idea of docility, shows to men its compendious (receptivity and operation). The Yao (or lines) are imitative representations of this. The Xiang, or emblematic figures, are pictorial representations of the same."
爻象動乎內，吉凶見乎外，功業見乎變，聖人之情見乎辭。,"The movements of the lines and figures take place (at the hand of the operator), and are unseen; the good fortune or ill is seen openly and is beyond. The work to be done appears by the changes; the sympathies of the sages are seen in their explanations."
天地之大德曰生，聖人之大寶曰位。何以守位曰仁，何以聚人曰財。理財正辭，禁民為非曰義。,"The great attribute of heaven and earth is the giving and maintaining life. What is most precious for the sage is to get the (highest) place - (in which he can be the human representative of heaven and earth). What will guard this position for him? Men. How shall he collect a large population round him? By the power of his wealth. The right administration of that wealth, correct instructions to the people, and prohibitions against wrong-doing; - these constitute his righteousness."
古者包犧氏之王天下也，仰則觀象於天，俯則觀法於地，觀鳥獸之文，與地之宜，近取諸身，遠取諸物，於是始作八卦，以通神明之德，以類萬物之情。,"Anciently, when Bao-xi had come to the rule of all under heaven, looking up, he contemplated the brilliant forms exhibited in the sky, and looking down he surveyed the patterns shown on the earth. He contemplated the ornamental appearances of birds and beasts and the (different) suitabilities of the soil. Near at hand, in his own person, he found things for consideration, and the same at a distance, in things in general. On this he devised the eight trigrams, to show fully the attributes of the spirit-like and intelligent (operations working secretly), and to classify the qualities of the myriads of things."
作結繩而為罔罟，以佃以漁，蓋取諸離。,"He invented the making of nets of various kinds by knitting strings, both for hunting and fishing. The idea of this was taken, probably, from Lu (the third trigram, and thirtieth hexagram)."
包犧氏沒，神農氏作，斲木為耜，揉木為耒，耒耨之利，以教天下，蓋取諸益。,"On the death of Bao-xi, there arose Shen-nong (in his place). He fashioned wood to form the share, and bent wood to make the plough-handle. The advantages of ploughing and weeding were then taught to all under heaven. The idea of this was taken, probably, from Yi (the forty-second hexagram)."
日中為市，致天下之民，聚天下之貨，交易而退，各得其所，蓋取諸噬嗑。,"He caused markets to be held at midday, thus bringing together all the people, and assembling in one place all their wares. They made their exchanges and retired, every one having got what he wanted. The idea of this was taken, probably, from Shi He (the twenty-first hexagram)."
